user_id,signup_month,last_active_month,status
50073,2023-06,2025-12,active
50074,2025-05,2026-05,active
50075,2024-08,2025-03,active
50076,2024-02,2024-02,active
50077,2023-10,2026-05,active
50078,2024-12,2025-10,active
50079,2025-04,2025-07,active
50080,2026-03,2026-05,active
50081,2024-06,2026-03,active
50082,2023-07,2024-04,active
50083,2025-11,2026-04,active
50084,2025-02,2026-02,active
50085,2025-05,2025-11,active
50086,2023-04,2025-04,active
50087,2024-01,2024-08,active
50088,2025-08,2026-05,active
50089,2025-11,2026-05,active
50090,2024-06,2026-05,active
50091,2025-09,2026-03,active
50092,2025-11,2025-11,active
50093,2024-04,2025-01,active
50094,2026-01,2026-03,active
50095,2023-12,2026-04,active
50096,2023-10,2025-03,active
50097,2025-04,2025-11,active
50098,2025-03,2025-05,active
50099,2023-06,2025-10,active
50100,2025-11,2026-01,active
50101,2023-09,2023-12,active
50102,2025-10,2026-05,active
50103,2023-01,2023-08,active
50104,2025-09,2025-09,active
50105,2025-09,2025-09,active
50106,2025-08,2025-12,active
50107,2025-04,2025-05,active
50108,2024-08,2026-02,active
50109,2025-05,2025-11,active
50110,2023-12,2024-09,active
50111,2025-09,2025-09,active
50112,2024-11,2025-08,active
50113,2024-07,2024-10,active
50114,2024-09,2026-05,churned
50115,2024-12,2025-05,active
50116,2023-02,2024-08,active
50117,2023-06,2023-06,active
50118,2023-11,2024-03,active
50119,2023-05,2023-12,active
50120,2024-07,2024-08,active
50121,2025-04,2026-02,active
50122,2025-03,2026-05,active
50123,2024-08,2026-05,active
50124,2025-12,2026-01,active
50125,2024-12,2026-02,active
50126,2023-04,2024-11,churned
50127,2025-08,2025-08,active
50128,2024-12,2025-01,active
50129,2025-03,2025-11,active
50130,2024-12,2025-07,active
50131,2024-11,2024-11,active
50132,2023-04,2026-03,active
50133,2024-11,2025-12,active
50134,2025-09,2026-01,active
50135,2024-01,2026-05,active
50136,2025-01,2026-05,active
50137,2023-02,2026-04,active
50138,2024-03,2024-09,active
50139,2024-06,2026-03,active
50140,2026-05,2026-05,churned
50141,2023-09,2025-01,active
50142,2023-12,2025-09,active
50143,2024-05,2026-02,active
50144,2026-05,2026-05,active
50145,2025-11,2025-12,active
50146,2023-02,2024-07,active
50147,2023-10,2024-02,active
50148,2025-10,2025-12,active
50149,2023-03,2024-07,active
50150,2025-12,2026-05,active
50151,2023-12,2026-01,active
50152,2026-02,2026-03,active
50153,2024-01,2024-10,active
50154,2024-06,2025-06,active
50155,2025-04,2026-04,active
50156,2023-06,2026-05,active
50157,2024-11,2025-03,active
50158,2024-09,2024-12,active
50159,2025-09,2026-03,active
50160,2026-05,2026-05,active
50161,2025-04,2025-08,active
50162,2024-05,2024-09,active
50163,2024-05,2024-05,active
50164,2024-06,2025-03,active
50165,2025-10,2026-01,active
50166,2024-02,2025-05,active
50167,2023-07,2024-02,active
50168,2024-02,2025-10,active
50169,2023-01,2025-04,active
50170,2023-05,2024-10,active
50171,2023-04,2023-10,active
50172,2025-08,2026-01,active
50173,2025-06,2026-02,active
50174,2025-05,2025-09,active
50175,2024-07,2025-01,active
50176,2025-06,2025-12,active
50177,2023-07,2024-07,active
50178,2026-01,2026-03,active
50179,2024-09,2025-04,active
50180,2026-03,2026-03,active
50181,2023-07,2025-08,active
50182,2024-09,2025-06,active
50183,2025-05,2025-11,active
50184,2024-09,2025-10,active
50185,2024-07,2025-03,active
50186,2023-07,2023-10,active
50187,2024-04,2026-02,churned
50188,2023-10,2023-11,active
50189,2024-01,2025-05,active
50190,2025-05,2025-08,active
50191,2025-02,2025-05,active
50192,2025-01,2025-01,active
50193,2024-03,2026-03,active
50194,2026-04,2026-04,churned
50195,2023-04,2024-05,active
50196,2024-03,2025-11,active
50197,2023-05,2023-06,active
50198,2024-02,2025-05,churned
50199,2026-04,2026-04,active
50200,2024-04,2025-06,active
50201,2026-02,2026-02,active
50202,2024-09,2026-05,churned
50203,2025-05,2025-08,active
50204,2024-07,2025-10,active
50205,2023-11,2025-10,active
50206,2025-08,2025-11,active
50207,2026-04,2026-04,churned
50208,2023-11,2024-08,active
50209,2025-08,2026-04,churned
50210,2023-11,2026-03,active
50211,2025-06,2026-05,churned
50212,2025-09,2025-11,active
50213,2024-07,2025-08,active
50214,2025-07,2025-08,active
50215,2023-12,2025-09,active
50216,2023-04,2024-07,active
50217,2023-04,2025-07,active
50218,2024-07,2025-10,churned
50219,2026-02,2026-05,active
50220,2023-06,2024-11,active
50221,2024-07,2025-02,active
50222,2025-05,2025-11,active
50223,2023-09,2024-02,active
50224,2025-06,2025-07,active
50225,2024-01,2025-04,active
50226,2025-10,2026-04,active
50227,2024-12,2025-09,active
50228,2024-11,2026-01,active
50229,2023-08,2024-02,active
50230,2024-07,2025-05,active
50231,2025-12,2026-03,active
50232,2023-01,2024-03,active
50233,2025-08,2025-08,active
50234,2024-09,2024-10,active
50235,2025-06,2026-05,active
50236,2025-04,2025-12,active
50237,2024-06,2024-12,active
50238,2024-01,2024-08,active
50239,2025-02,2025-02,active
50240,2023-06,2026-04,churned
50241,2024-12,2025-01,active
50242,2023-04,2025-08,active
50243,2025-03,2025-06,active
50244,2025-02,2025-07,active
50245,2023-04,2024-02,active
50246,2025-08,2026-04,active
50247,2024-06,2024-06,active
50248,2025-09,2025-12,active
50249,2023-02,2024-01,active
50250,2023-08,2024-05,active
50251,2024-09,2025-01,active
50252,2023-08,2026-03,active
50253,2024-02,2024-12,active
50254,2025-04,2025-09,active
50255,2023-06,2024-07,active
50256,2025-04,2026-05,active
50257,2023-05,2024-05,active
50258,2023-08,2024-07,active
50259,2025-01,2025-06,churned
50260,2025-09,2025-11,active
50261,2023-07,2023-10,active
50262,2024-01,2025-06,active
50263,2026-02,2026-02,active
50264,2026-05,2026-05,active
50265,2024-12,2025-04,active
50266,2024-07,2024-11,active
50267,2024-03,2024-10,active
50268,2025-02,2026-02,active
50269,2025-01,2025-11,churned
50270,2024-01,2026-05,active
50271,2023-01,2024-03,active
50272,2023-07,2026-03,active
50273,2026-04,2026-04,churned
50274,2024-06,2025-06,active
50275,2024-08,2026-01,active
50276,2024-08,2025-07,active
50277,2025-09,2026-05,active
50278,2023-03,2024-03,active
50279,2023-04,2023-05,active
50280,2023-12,2025-11,active
50281,2024-08,2024-09,active
50282,2025-04,2026-02,active
50283,2024-09,2025-12,churned
50284,2024-07,2026-02,active
50285,2026-03,2026-04,active
50286,2023-07,2026-02,churned
50287,2024-12,2025-03,active
50288,2024-11,2025-07,active
50289,2024-08,2024-10,active
50290,2025-10,2026-04,active
50291,2023-11,2025-09,active
50292,2026-04,2026-05,active
50293,2024-02,2025-11,active
50294,2024-11,2025-04,active
50295,2024-10,2024-11,active
50296,2025-11,2026-05,active
50297,2024-06,2025-05,active
50298,2023-12,2024-02,active
50299,2023-01,2026-03,churned
50300,2024-03,2026-05,churned
50301,2025-10,2026-01,active
50302,2023-01,2025-08,active
50303,2026-01,2026-01,active
50304,2024-11,2024-12,active
50305,2023-06,2024-03,active
50306,2024-01,2025-08,active
50307,2024-11,2025-01,churned
50308,2024-01,2024-01,churned
50309,2023-05,2025-05,active
50310,2025-04,2026-02,active
50311,2025-04,2026-02,active
50312,2023-05,2025-10,active
50313,2023-12,2025-12,active
50314,2023-10,2025-05,active
50315,2025-04,2025-11,active
50316,2025-06,2026-04,active
50317,2025-06,2025-10,active
50318,2026-03,2026-03,active
50319,2025-08,2026-03,active
50320,2024-02,2024-09,active
50321,2023-05,2026-05,active
50322,2025-02,2025-08,active
50323,2026-02,2026-05,active
50324,2026-04,2026-04,active
50325,2023-10,2025-07,active
50326,2023-10,2024-12,active
50327,2023-02,2024-08,churned
50328,2023-06,2024-03,active
50329,2024-11,2026-05,active
50330,2024-11,2025-06,active
50331,2024-04,2026-02,active
50332,2024-01,2025-01,churned
50333,2025-11,2025-11,active
50334,2024-07,2026-03,active
50335,2025-10,2025-11,active
50336,2026-04,2026-04,active
50337,2024-02,2026-02,active
50338,2023-09,2026-02,active
50339,2026-04,2026-05,churned
50340,2025-03,2025-09,active
50341,2023-12,2025-10,active
50342,2025-02,2025-07,active
50343,2024-10,2025-12,churned
50344,2026-02,2026-04,churned
50345,2023-11,2023-12,active
50346,2026-05,2026-05,active
50347,2026-03,2026-04,active
50348,2023-08,2024-11,active
50349,2023-07,2024-04,active
50350,2024-10,2025-05,active
50351,2023-02,2024-10,active
50352,2024-01,2024-02,active
50353,2024-06,2024-09,active
50354,2026-04,2026-05,active
50355,2026-05,2026-05,active
50356,2023-07,2024-07,churned
50357,2026-01,2026-04,active
50358,2023-04,2025-01,active
50359,2025-07,2026-01,active
50360,2025-11,2026-01,active
50361,2026-01,2026-03,active
50362,2023-10,2025-12,active
50363,2026-01,2026-05,active
50364,2023-05,2024-02,active
50365,2024-10,2025-11,active
50366,2024-08,2026-05,churned
50367,2024-01,2024-01,active
50368,2023-01,2025-09,active
50369,2025-08,2025-12,active
50370,2024-02,2026-05,active
50371,2025-04,2025-12,active
50372,2024-05,2026-01,active
50373,2024-04,2024-08,active
50374,2026-01,2026-01,active
50375,2023-04,2026-03,churned
50376,2025-07,2025-12,active
50377,2025-07,2026-01,active
50378,2024-04,2024-08,churned
50379,2023-11,2024-06,active
50380,2023-01,2025-10,active
50381,2026-03,2026-03,active
50382,2026-03,2026-04,active
50383,2023-10,2024-08,active
50384,2023-02,2023-12,churned
50385,2023-06,2023-11,active
50386,2023-03,2026-03,active
50387,2025-11,2026-05,churned
50388,2026-01,2026-01,churned
50389,2023-07,2024-07,churned
50390,2025-07,2026-01,active
50391,2023-08,2024-09,active
50392,2024-04,2025-10,active
50393,2025-01,2025-05,active
50394,2025-06,2025-06,active
50395,2025-12,2026-02,active
50396,2023-02,2025-01,active
50397,2023-09,2024-02,active
50398,2023-12,2025-12,active
50399,2024-01,2024-01,active
50400,2026-05,2026-05,active
50401,2025-08,2025-08,active
50402,2024-02,2025-04,active
50403,2026-04,2026-05,churned
50404,2024-09,2025-03,active
50405,2024-09,2025-02,churned
50406,2024-06,2024-07,active
50407,2023-06,2025-05,active
50408,2026-03,2026-04,active
50409,2023-01,2023-05,active
50410,2023-08,2024-09,active
50411,2023-10,2026-03,active
50412,2023-12,2024-07,active
50413,2023-06,2026-02,active
50414,2023-01,2023-11,active
50415,2025-04,2025-06,active
50416,2026-04,2026-04,active
50417,2023-05,2024-04,active
50418,2024-01,2024-04,active
50419,2024-09,2025-09,active
50420,2026-03,2026-04,active
50421,2025-05,2026-02,active
50422,2025-08,2025-12,active
50423,2024-12,2025-07,active
50424,2024-06,2025-05,active
50425,2023-09,2024-02,active
50426,2025-12,2026-04,active
50427,2025-09,2025-09,active
50428,2023-02,2025-06,active
50429,2025-06,2026-05,churned
50430,2023-04,2025-09,active
50431,2025-07,2025-12,churned
50432,2025-10,2025-12,active
50433,2023-06,2026-01,active
50434,2024-06,2024-12,active
50435,2023-06,2024-11,active
50436,2024-12,2026-01,active
50437,2026-03,2026-05,active
50438,2023-04,2026-02,active
50439,2024-05,2024-07,active
50440,2026-04,2026-05,active
50441,2024-01,2024-04,active
50442,2023-06,2025-03,active
50443,2024-09,2026-04,active
50444,2024-09,2025-10,active
50445,2025-04,2026-05,active
50446,2024-01,2024-10,active
50447,2026-04,2026-04,active
50448,2024-10,2025-04,active
50449,2023-12,2024-10,active
50450,2026-04,2026-05,churned
50451,2026-02,2026-03,active
50452,2024-09,2025-12,active
50453,2023-02,2024-06,active
50454,2025-01,2025-06,churned
50455,2024-11,2025-02,active
50456,2023-07,2025-02,active
50457,2025-02,2026-04,active
50458,2025-11,2026-05,active
50459,2023-05,2024-02,active
50460,2025-06,2025-11,active
50461,2023-06,2025-07,active
50462,2025-07,2026-01,active
50463,2024-06,2024-07,churned
50464,2023-01,2025-01,active
50465,2026-04,2026-04,active
50466,2023-07,2023-11,active
50467,2025-01,2025-12,active
50468,2023-08,2023-11,active
50469,2026-03,2026-04,churned
50470,2025-07,2026-01,churned
50471,2025-09,2026-02,active
50472,2024-06,2025-04,active
50473,2024-08,2024-10,active
50474,2025-03,2026-02,active
50475,2025-09,2026-05,churned
50476,2025-11,2026-05,active
50477,2023-01,2025-07,active
50478,2025-04,2025-09,active
50479,2023-05,2026-01,active
50480,2023-12,2025-02,active
50481,2025-11,2025-11,churned
50482,2023-11,2026-01,active
50483,2025-09,2025-11,active
50484,2024-07,2026-04,active
50485,2023-10,2024-09,active
50486,2024-02,2026-02,active
50487,2024-10,2025-08,active
50488,2025-08,2025-12,active
50489,2025-01,2025-06,active
50490,2026-03,2026-05,active
50491,2025-12,2025-12,active
50492,2025-07,2025-12,churned
50493,2025-01,2025-07,active
50494,2023-12,2025-04,active
50495,2024-05,2024-11,active
50496,2023-05,2025-05,active
50497,2024-04,2025-02,active
50498,2026-02,2026-02,active
50499,2024-06,2024-10,active
50500,2023-05,2025-06,active
50501,2025-03,2025-06,churned
50502,2026-04,2026-04,active
50503,2025-12,2026-03,active
50504,2023-12,2024-09,active
50505,2024-07,2025-03,active
50506,2024-10,2025-02,active
50507,2023-11,2024-09,active
50508,2023-12,2025-08,active
50509,2023-10,2025-03,active
50510,2026-05,2026-05,churned
50511,2025-07,2026-05,active
50512,2025-11,2026-04,active
50513,2025-10,2025-10,active
50514,2026-04,2026-04,active
50515,2023-05,2024-03,active
50516,2026-01,2026-03,active
50517,2023-03,2024-01,active
50518,2024-08,2026-05,churned
50519,2025-01,2025-06,active
50520,2024-03,2025-05,active
50521,2023-06,2023-10,active
50522,2023-08,2026-02,active
50523,2025-10,2026-05,active
50524,2024-02,2025-12,active
50525,2024-01,2024-11,churned
50526,2026-02,2026-02,active
50527,2023-06,2025-07,active
50528,2026-02,2026-03,active
50529,2026-02,2026-05,churned
50530,2025-01,2025-12,active
50531,2023-07,2025-01,active
50532,2023-07,2026-05,active
50533,2023-12,2025-12,active
50534,2024-12,2025-08,active
50535,2023-07,2023-07,active
50536,2024-07,2024-09,active
50537,2023-05,2024-09,active
50538,2024-11,2025-09,active
50539,2023-01,2023-02,active
50540,2025-06,2025-07,active
50541,2023-03,2025-06,active
50542,2023-08,2025-09,active
50543,2023-08,2023-09,active
50544,2025-11,2026-02,active
50545,2023-03,2023-06,active
50546,2024-06,2025-11,active
50547,2025-01,2026-03,active
50548,2024-10,2026-03,active
50549,2025-04,2025-12,active
50550,2025-09,2026-02,active
50551,2024-05,2026-04,active
50552,2025-10,2026-02,churned
50553,2024-02,2025-02,active
50554,2026-05,2026-05,active
50555,2024-09,2025-12,active
50556,2025-07,2026-01,active
50557,2025-12,2026-05,active
50558,2025-09,2026-01,active
50559,2025-11,2026-05,churned
50560,2024-10,2024-10,active
50561,2023-02,2023-03,active
50562,2024-09,2024-11,active
50563,2023-08,2025-02,active
50564,2026-01,2026-04,active
50565,2023-10,2024-04,active
50566,2023-10,2024-02,active
50567,2023-11,2026-01,active
50568,2025-03,2026-02,active
50569,2024-12,2025-11,active
50570,2026-03,2026-04,active
50571,2024-06,2025-04,active
50572,2023-12,2023-12,active
50573,2023-03,2023-10,active
50574,2023-01,2026-01,active
50575,2024-04,2024-12,active
50576,2026-02,2026-04,active
50577,2024-10,2025-12,active
50578,2026-01,2026-02,active
50579,2023-05,2023-12,active
50580,2023-04,2025-06,active
50581,2025-11,2025-11,active
50582,2023-05,2024-11,active
50583,2023-03,2026-01,active
50584,2024-05,2025-10,active
50585,2026-02,2026-05,active
50586,2025-05,2025-06,active
50587,2023-05,2023-12,active
50588,2025-11,2025-12,active
50589,2025-11,2026-01,active
50590,2025-09,2025-10,active
50591,2026-02,2026-05,active
50592,2023-10,2024-03,churned
50593,2026-05,2026-05,churned
50594,2024-02,2025-09,active
50595,2025-09,2026-02,active
50596,2024-12,2025-10,active
50597,2025-08,2025-10,active
50598,2025-02,2025-06,active
50599,2025-03,2025-12,active
50600,2025-02,2025-06,active
50601,2025-08,2026-02,active
50602,2025-07,2025-07,churned
50603,2023-06,2023-08,active
50604,2025-10,2026-03,churned
50605,2024-10,2025-10,active
50606,2024-02,2024-03,active
50607,2024-10,2026-03,active
50608,2026-04,2026-04,active
50609,2025-12,2026-05,active
50610,2025-11,2026-04,churned
50611,2024-07,2026-05,active
50612,2025-09,2026-05,active
50613,2024-04,2024-12,active
50614,2025-05,2026-02,active
50615,2025-03,2025-06,active
50616,2023-11,2025-01,active
50617,2023-11,2024-06,active
50618,2023-03,2024-09,active
50619,2023-06,2026-01,churned
50620,2024-06,2025-04,active
50621,2024-08,2024-10,active
50622,2023-07,2024-06,active
50623,2024-06,2025-12,active
50624,2025-01,2025-09,active
50625,2023-10,2025-03,active
50626,2024-02,2025-02,active
50627,2024-04,2024-11,active
50628,2024-09,2025-09,active
50629,2024-04,2025-08,churned
50630,2025-07,2026-04,active
50631,2024-02,2025-07,churned
50632,2024-06,2026-05,active
50633,2024-04,2026-01,active
50634,2023-08,2023-10,active
50635,2025-05,2025-10,active
50636,2023-10,2024-10,active
50637,2024-01,2024-01,active
50638,2025-09,2025-10,active
50639,2026-03,2026-05,active
50640,2025-04,2025-08,active
50641,2026-02,2026-02,active
50642,2025-12,2026-01,active
50643,2024-08,2025-02,active
50644,2025-08,2025-09,active
50645,2024-02,2024-04,active
50646,2024-07,2025-12,active
50647,2024-10,2026-02,active
50648,2026-04,2026-04,active
50649,2025-11,2026-03,active
50650,2024-09,2026-04,active
50651,2025-03,2026-03,active
50652,2023-09,2023-10,active
50653,2025-09,2026-05,active
50654,2024-11,2024-12,active
50655,2024-10,2024-10,active
50656,2025-08,2025-12,active
50657,2025-02,2026-01,active
50658,2023-03,2023-06,active
50659,2023-12,2024-08,active
50660,2023-08,2024-04,active
50661,2025-07,2025-11,active
50662,2023-02,2026-05,active
50663,2023-09,2024-07,active
50664,2025-01,2025-04,active
50665,2025-05,2025-06,active
50666,2024-09,2025-01,active
50667,2025-12,2025-12,active
50668,2026-02,2026-04,active
50669,2023-06,2024-09,active
50670,2026-04,2026-04,active
50671,2025-02,2026-03,active
50672,2025-03,2025-11,active
50673,2023-04,2023-09,active
50674,2025-02,2025-08,active
50675,2025-06,2025-09,active
50676,2024-12,2026-02,active
50677,2023-04,2024-03,active
50678,2024-10,2024-12,active
50679,2026-03,2026-05,active
50680,2025-06,2025-11,active
50681,2023-06,2023-09,active
50682,2026-04,2026-05,active
50683,2026-04,2026-04,active
50684,2023-07,2026-01,active
50685,2025-09,2026-04,active
50686,2024-05,2025-02,active
50687,2025-01,2025-10,churned
50688,2024-07,2025-08,active
50689,2025-09,2026-02,active
50690,2026-05,2026-05,churned
50691,2025-09,2025-09,active
50692,2026-03,2026-03,active
50693,2026-03,2026-03,churned
50694,2023-04,2025-06,active
50695,2023-11,2024-01,churned
50696,2025-06,2025-12,active
50697,2025-01,2026-01,active
50698,2023-03,2026-03,active
50699,2023-04,2024-02,active
50700,2024-10,2024-10,active
50701,2025-02,2026-01,active
50702,2023-07,2023-07,active
50703,2023-08,2023-10,active
50704,2023-06,2026-05,churned
50705,2024-12,2026-03,active
50706,2023-01,2025-06,active
50707,2024-12,2026-03,active
50708,2024-08,2024-09,active
50709,2024-08,2024-09,active
50710,2025-04,2025-08,active
50711,2024-10,2024-10,active
50712,2025-06,2026-04,active
50713,2025-08,2025-08,active
50714,2026-02,2026-04,active
50715,2025-09,2026-04,active
50716,2024-10,2025-12,active
50717,2024-09,2025-01,active
50718,2023-10,2025-01,active
50719,2025-01,2025-10,active
50720,2023-06,2025-09,active
50721,2026-03,2026-04,active
50722,2025-11,2025-12,active
50723,2023-05,2025-10,active
50724,2025-09,2026-04,churned
50725,2023-05,2024-11,active
50726,2025-06,2025-06,active
50727,2023-04,2024-11,active
50728,2024-09,2026-03,active
50729,2025-03,2026-05,churned
50730,2025-06,2025-10,churned
50731,2024-06,2024-09,active
50732,2026-02,2026-04,active
50733,2025-08,2026-04,churned
50734,2023-09,2026-04,active
50735,2025-04,2025-04,active
50736,2025-06,2025-09,active
50737,2024-02,2025-03,active
50738,2025-07,2025-08,active
50739,2026-01,2026-05,active
50740,2025-10,2025-10,active
50741,2025-08,2026-02,active
50742,2025-03,2026-04,active
50743,2023-12,2025-08,active
50744,2025-09,2026-03,active
50745,2024-03,2024-10,active
50746,2024-10,2026-02,active
50747,2024-01,2025-01,active
50748,2024-01,2024-02,active
50749,2023-07,2024-07,active
50750,2026-04,2026-04,active
50751,2023-07,2025-01,active
50752,2023-04,2024-02,active
50753,2026-03,2026-04,active
50754,2024-11,2025-07,active
50755,2024-06,2025-01,active
50756,2025-07,2026-02,active
50757,2024-04,2024-11,active
50758,2023-06,2025-09,active
50759,2025-06,2025-09,active
50760,2023-08,2026-01,active
50761,2024-11,2025-05,active
50762,2026-03,2026-03,active
50763,2026-03,2026-03,active
50764,2024-03,2025-12,active
50765,2025-08,2026-04,active
50766,2025-02,2025-05,active
50767,2024-08,2025-09,active
50768,2023-06,2025-02,active
50769,2024-04,2024-07,active
50770,2025-03,2025-09,active
50771,2026-05,2026-05,churned
50772,2023-01,2025-05,active
50773,2025-06,2026-05,active
50774,2025-11,2026-04,active
50775,2026-03,2026-03,active
50776,2024-06,2024-11,churned
50777,2023-05,2024-09,active
50778,2023-12,2024-04,active
50779,2025-11,2026-02,active
50780,2025-12,2025-12,active
50781,2025-03,2025-04,active
50782,2023-06,2023-07,active
50783,2023-05,2024-03,active
50784,2024-08,2025-12,active
50785,2025-01,2025-04,active
50786,2023-02,2026-05,active
50787,2025-05,2025-08,active
50788,2024-11,2024-11,active
50789,2023-01,2024-02,churned
50790,2023-04,2025-08,active
50791,2024-07,2024-09,active
50792,2025-06,2025-06,active
50793,2025-10,2026-04,active
50794,2024-06,2025-08,active
50795,2024-01,2024-10,active
50796,2026-04,2026-05,churned
50797,2024-07,2026-02,churned
50798,2024-01,2024-11,active
50799,2024-07,2025-07,active
50800,2023-01,2023-01,active
50801,2024-01,2024-09,active
50802,2024-10,2025-09,active
50803,2026-02,2026-02,active
50804,2025-07,2026-05,active
50805,2025-09,2026-05,active
50806,2024-11,2025-03,active
50807,2023-05,2024-07,active
50808,2024-05,2024-09,active
50809,2026-05,2026-05,active
50810,2023-02,2024-10,churned
50811,2026-01,2026-01,active
50812,2025-05,2025-10,active
50813,2023-12,2025-04,active
50814,2025-08,2026-02,active
50815,2025-11,2026-03,active
50816,2023-02,2023-10,active
50817,2023-05,2025-10,active
50818,2025-04,2026-01,active
50819,2026-05,2026-05,active
50820,2023-01,2025-07,active
50821,2025-04,2025-10,active
50822,2023-06,2026-02,active
50823,2025-03,2025-08,active
50824,2025-02,2026-02,churned
50825,2023-04,2023-11,active
50826,2025-04,2025-07,churned
50827,2026-01,2026-03,churned
50828,2025-12,2026-03,active
50829,2023-02,2025-07,active
50830,2023-11,2024-08,active
50831,2023-10,2026-01,active
50832,2024-07,2025-02,active
50833,2023-06,2025-01,active
50834,2025-12,2026-05,active
50835,2025-08,2026-01,active
50836,2025-10,2026-03,active
50837,2023-09,2026-02,active
50838,2023-01,2026-04,active
50839,2026-02,2026-03,active
50840,2023-12,2024-12,active
50841,2025-03,2025-05,active
50842,2026-02,2026-04,active
50843,2023-02,2026-02,churned
50844,2023-01,2024-08,active
50845,2023-01,2024-03,active
50846,2023-07,2023-10,active
50847,2023-03,2024-06,active
50848,2025-10,2025-11,active
50849,2025-01,2026-05,active
50850,2026-05,2026-05,active
50851,2025-09,2026-01,active
50852,2026-04,2026-04,active
50853,2023-10,2023-12,active
50854,2023-12,2026-01,churned
50855,2025-11,2026-05,active
50856,2023-11,2025-10,active
50857,2023-03,2023-07,active
50858,2025-04,2025-05,active
50859,2025-09,2025-10,active
50860,2026-04,2026-05,active
50861,2026-03,2026-05,active
50862,2023-05,2025-12,active
50863,2025-08,2025-08,active
50864,2025-11,2025-12,active
50865,2025-05,2026-04,active
50866,2025-10,2026-05,active
50867,2025-11,2026-04,churned
50868,2024-07,2024-09,active
50869,2023-02,2023-04,active
50870,2024-07,2024-08,active
50871,2023-09,2025-07,active
50872,2023-05,2025-12,active
50873,2023-06,2025-04,active
50874,2025-05,2025-08,active
50875,2024-09,2025-12,active
50876,2024-11,2024-12,active
50877,2025-07,2026-04,active
50878,2024-11,2026-03,active
50879,2025-02,2026-01,active
50880,2023-04,2026-01,active
50881,2025-11,2026-03,active
50882,2024-07,2025-05,active
50883,2023-07,2024-06,active
50884,2025-10,2026-05,active
50885,2025-07,2026-02,active
50886,2023-03,2023-10,active
50887,2023-08,2026-04,active
50888,2023-01,2023-03,churned
50889,2023-12,2025-05,churned
50890,2023-05,2023-12,active
50891,2025-06,2026-01,active
50892,2024-10,2025-06,active
50893,2026-05,2026-05,active
50894,2025-07,2025-11,active
50895,2025-02,2025-12,active
50896,2024-09,2025-12,active
50897,2023-03,2024-05,active
50898,2023-03,2026-05,churned
50899,2025-02,2025-09,active
50900,2023-01,2023-07,active
50901,2023-02,2023-02,active
50902,2023-09,2024-03,active
50903,2026-01,2026-04,active
50904,2024-07,2025-07,active
50905,2025-06,2025-10,active
50906,2024-05,2025-05,active
50907,2023-08,2025-12,active
50908,2024-04,2025-06,active
50909,2023-04,2023-06,active
50910,2025-08,2025-08,churned
50911,2023-08,2024-12,active
50912,2024-04,2025-02,active
50913,2026-05,2026-05,active
50914,2025-01,2026-03,active
50915,2024-07,2025-08,active
50916,2024-11,2026-01,active
50917,2025-09,2026-02,active
50918,2023-11,2024-09,active
50919,2025-03,2025-12,active
50920,2025-12,2026-03,active
50921,2024-12,2025-12,active
50922,2024-07,2024-11,active
50923,2023-06,2025-05,active
