last_login_days_ago,videos_watched,completion_pct,quiz_avg_score,enrolled_days,dropped
12.0,33.0,68.1,98.5,131.0,0
9.0,50.0,75.6,40.3,189.0,0
17.0,3.0,12.3,62.0,107.0,1
4.0,36.0,77.1,73.8,198.0,0
6.0,52.0,86.9,67.2,88.0,0
19.0,33.0,84.0,72.3,35.0,0
9.0,45.0,88.2,100.0,142.0,0
0.0,84.0,76.2,64.4,146.0,0
3.0,32.0,95.1,71.0,10.0,0
0.0,38.0,86.7,59.3,177.0,0
0.0,20.0,81.1,53.0,156.0,0
0.0,38.0,86.0,80.7,121.0,0
7.0,53.0,73.2,49.8,178.0,0
16.0,33.0,58.9,54.5,148.0,0
14.0,20.0,73.9,74.7,31.0,0
0.0,53.0,87.5,82.8,135.0,0
22.0,5.0,14.8,47.7,77.0,1
0.0,59.0,78.6,62.9,197.0,0
0.0,18.0,71.5,49.5,175.0,0
5.0,75.0,60.4,81.6,145.0,0
12.0,34.0,94.2,74.5,21.0,0
4.0,23.0,77.9,74.2,182.0,0
19.0,5.0,18.9,61.9,53.0,1
0.0,74.0,73.3,86.2,160.0,0
3.0,38.0,92.5,66.5,163.0,0
12.0,27.0,88.8,87.3,104.0,0
5.0,55.0,70.3,64.2,77.0,0
53.0,7.0,6.8,46.7,49.0,1
5.0,101.0,78.5,62.7,74.0,0
8.0,22.0,73.9,88.4,24.0,0
0.0,53.0,77.1,55.9,85.0,0
1.0,41.0,72.2,78.5,89.0,0
0.0,25.0,66.8,55.7,193.0,0
11.0,24.0,87.8,67.6,96.0,0
52.0,0.0,9.7,31.6,20.0,1
0.0,53.0,86.2,56.9,37.0,0
10.0,30.0,82.9,81.0,79.0,0
14.0,33.0,85.5,85.3,67.0,0
0.0,27.0,59.5,44.0,78.0,0
10.0,64.0,71.3,81.1,94.0,0
4.0,65.0,85.7,90.9,196.0,0
0.0,57.0,67.3,62.8,18.0,0
61.0,3.0,15.4,24.0,64.0,1
4.0,59.0,66.1,49.6,72.0,0
8.0,9.0,80.2,59.6,189.0,0
1.0,51.0,96.1,89.3,132.0,0
4.0,69.0,87.7,67.7,86.0,0
7.0,50.0,61.5,81.5,16.0,0
0.0,46.0,88.5,64.6,96.0,0
20.0,31.0,98.2,72.3,173.0,0
13.0,32.0,100.0,92.7,138.0,0
36.0,6.0,10.7,64.2,186.0,1
33.0,7.0,11.7,24.0,101.0,1
0.0,34.0,84.3,70.9,63.0,0
14.0,5.0,96.0,62.1,51.0,0
11.0,63.0,78.1,86.0,125.0,0
38.0,1.0,17.5,43.1,169.0,1
0.0,53.0,71.6,93.4,119.0,0
0.0,24.0,83.7,48.8,63.0,0
30.0,6.0,13.0,38.0,127.0,1
4.0,56.0,70.5,71.8,172.0,0
15.0,46.0,79.9,81.7,123.0,0
14.0,30.0,76.4,54.6,193.0,0
6.0,74.0,67.0,72.0,59.0,0
5.0,26.0,75.0,88.6,111.0,0
0.0,0.0,83.3,78.7,55.0,0
14.0,47.0,79.1,79.0,43.0,0
6.0,48.0,80.6,61.8,32.0,0
11.0,46.0,87.3,70.7,40.0,0
15.0,54.0,76.6,58.6,70.0,0
1.0,33.0,93.6,89.2,171.0,0
0.0,68.0,70.1,80.3,47.0,0
26.0,15.0,99.3,75.9,63.0,0
11.0,45.0,91.1,76.7,149.0,0
4.0,31.0,76.4,92.2,103.0,0
16.0,67.0,77.1,100.0,134.0,0
4.0,28.0,82.1,75.2,158.0,0
9.0,47.0,86.0,75.2,97.0,0
1.0,47.0,90.9,80.0,20.0,0
6.0,49.0,66.6,95.8,98.0,0
4.0,29.0,84.4,85.6,92.0,0
0.0,53.0,58.8,80.0,188.0,0
8.0,46.0,78.2,85.6,137.0,0
1.0,53.0,94.5,80.3,127.0,0
11.0,80.0,65.8,53.1,119.0,0
4.0,48.0,64.0,90.1,82.0,0
0.0,23.0,82.2,62.1,87.0,0
11.0,88.0,93.9,72.7,53.0,0
11.0,67.0,83.3,62.4,77.0,0
51.0,5.0,8.2,20.0,148.0,1
6.0,41.0,63.2,77.6,25.0,0
7.0,61.0,81.0,94.4,113.0,0
10.0,0.0,68.2,67.7,125.0,0
14.0,79.0,81.4,96.0,37.0,0
32.0,0.0,14.7,15.6,21.0,1
9.0,41.0,75.1,55.5,91.0,0
6.0,64.0,98.1,61.3,109.0,0
13.0,59.0,85.9,85.5,45.0,0
25.0,0.0,14.5,58.6,35.0,1
0.0,49.0,89.2,55.3,66.0,0
0.0,53.0,78.5,100.0,17.0,0
4.0,42.0,78.1,72.0,127.0,0
7.0,40.0,77.0,96.3,102.0,0
26.0,65.0,86.8,89.5,121.0,0
5.0,49.0,73.5,86.1,68.0,0
6.0,86.0,97.3,92.9,123.0,0
3.0,31.0,72.5,70.0,102.0,0
11.0,54.0,82.1,56.7,192.0,0
8.0,25.0,77.7,81.8,41.0,0
1.0,60.0,75.5,68.7,95.0,0
0.0,20.0,100.0,83.0,193.0,0
25.0,0.0,17.9,42.6,189.0,1
0.0,71.0,77.0,61.9,12.0,0
4.0,46.0,73.4,65.1,74.0,0
7.0,23.0,80.4,72.7,35.0,0
46.0,5.0,6.4,29.7,140.0,1
18.0,53.0,68.8,62.2,145.0,0
15.0,43.0,75.8,100.0,117.0,0
4.0,24.0,86.1,49.3,186.0,0
23.0,15.0,18.2,66.3,16.0,1
6.0,95.0,80.2,77.6,18.0,0
5.0,32.0,80.6,82.0,187.0,0
5.0,23.0,76.4,82.6,14.0,0
3.0,52.0,75.0,39.3,192.0,0
0.0,23.0,70.8,69.8,116.0,0
6.0,56.0,64.4,71.8,129.0,0
3.0,75.0,73.0,92.2,93.0,0
4.0,22.0,89.0,72.8,130.0,0
30.0,13.0,19.3,54.6,48.0,1
5.0,54.0,76.5,100.0,29.0,0
15.0,0.0,8.8,57.4,35.0,1
3.0,25.0,92.4,76.9,41.0,0
9.0,42.0,70.7,58.7,172.0,0
0.0,88.0,82.8,83.7,94.0,0
0.0,26.0,79.3,69.5,33.0,0
0.0,39.0,80.7,95.2,57.0,0
1.0,100.0,82.4,52.3,142.0,0
0.0,62.0,80.6,64.2,79.0,0
28.0,0.0,10.0,60.3,167.0,1
10.0,40.0,79.7,100.0,13.0,0
16.0,58.0,97.4,85.2,14.0,0
10.0,77.0,80.4,93.6,157.0,0
2.0,76.0,63.0,77.2,151.0,0
0.0,57.0,86.4,100.0,27.0,0
8.0,61.0,83.9,78.2,139.0,0
0.0,16.0,80.3,82.4,49.0,0
5.0,30.0,77.4,77.9,113.0,0
0.0,16.0,58.9,70.8,150.0,0
0.0,68.0,60.5,81.2,25.0,0
18.0,53.0,96.5,78.6,199.0,0
0.0,47.0,74.1,81.7,182.0,0
3.0,79.0,89.7,41.2,68.0,0
5.0,57.0,64.0,61.8,182.0,0
2.0,70.0,69.5,67.1,111.0,0
10.0,62.0,86.8,52.5,74.0,0
0.0,64.0,79.0,60.8,175.0,0
32.0,3.0,10.0,68.3,73.0,1
9.0,66.0,79.9,79.6,91.0,0
0.0,55.0,77.9,89.5,113.0,0
8.0,36.0,73.2,88.4,50.0,0
0.0,60.0,68.1,89.6,176.0,0
0.0,73.0,94.0,75.4,174.0,0
14.0,18.0,5.3,34.2,187.0,1
3.0,29.0,69.6,66.2,174.0,0
9.0,30.0,69.0,94.2,57.0,0
9.0,14.0,76.5,88.0,120.0,0
0.0,41.0,83.4,84.5,115.0,0
12.0,58.0,78.2,74.4,162.0,0
8.0,83.0,85.0,64.5,79.0,0
1.0,27.0,79.5,74.7,111.0,0
5.0,53.0,78.9,51.9,51.0,0
12.0,45.0,100.0,90.2,109.0,0
3.0,45.0,74.7,67.5,10.0,0
23.0,11.0,96.4,68.4,12.0,0
53.0,20.0,9.2,46.3,65.0,1
7.0,85.0,85.0,58.9,143.0,0
4.0,67.0,60.7,100.0,72.0,0
5.0,51.0,80.3,64.9,140.0,0
1.0,55.0,74.9,89.9,134.0,0
7.0,61.0,80.2,55.1,66.0,0
0.0,2.0,8.3,29.5,132.0,1
0.0,36.0,87.6,73.9,87.0,0
11.0,31.0,89.8,75.1,195.0,0
67.0,19.0,5.9,72.1,13.0,1
11.0,20.0,76.2,74.0,135.0,0
5.0,30.0,69.4,62.5,167.0,0
10.0,56.0,83.5,92.3,39.0,0
16.0,37.0,97.6,100.0,195.0,0
6.0,6.0,80.7,89.8,122.0,0
6.0,37.0,84.5,53.6,117.0,0
23.0,57.0,77.7,80.8,41.0,0
8.0,48.0,75.0,65.4,123.0,0
0.0,8.0,86.6,65.4,39.0,0
48.0,20.0,13.9,61.5,86.0,1
9.0,40.0,84.0,75.7,186.0,0
1.0,52.0,85.1,75.8,54.0,0
0.0,68.0,83.5,74.8,43.0,0
8.0,42.0,85.6,60.6,11.0,0
6.0,3.0,71.5,58.8,100.0,0
0.0,84.0,70.9,69.8,149.0,0
5.0,0.0,79.6,71.1,182.0,0
5.0,38.0,79.8,80.2,30.0,0
6.0,74.0,74.8,87.3,125.0,0
10.0,30.0,82.4,71.4,40.0,0
0.0,31.0,89.1,76.7,97.0,0
0.0,40.0,91.9,87.8,59.0,0
2.0,41.0,94.1,70.2,73.0,0
17.0,26.0,66.9,80.5,108.0,0
26.0,14.0,27.6,30.4,33.0,1
6.0,69.0,77.1,69.2,175.0,0
6.0,33.0,80.8,54.9,173.0,0
0.0,56.0,77.6,59.8,58.0,0
13.0,25.0,74.5,89.6,162.0,0
10.0,75.0,77.0,49.8,133.0,0
16.0,21.0,10.0,69.2,184.0,1
72.0,22.0,9.1,75.2,153.0,1
22.0,59.0,100.0,47.5,157.0,0
18.0,78.0,80.2,65.9,106.0,0
8.0,23.0,90.5,40.2,103.0,0
41.0,0.0,10.9,78.6,53.0,1
6.0,53.0,85.7,75.5,46.0,0
13.0,17.0,81.0,50.5,111.0,0
0.0,11.0,88.6,51.3,177.0,0
0.0,10.0,78.0,74.8,105.0,0
0.0,48.0,95.5,75.1,48.0,0
0.0,0.0,65.1,81.5,121.0,0
1.0,36.0,89.5,77.5,98.0,0
10.0,0.0,81.2,73.1,57.0,0
4.0,55.0,69.8,82.5,135.0,0
6.0,56.0,99.5,87.6,74.0,0
43.0,16.0,9.6,36.6,171.0,1
40.0,13.0,14.0,3.9,163.0,1
24.0,0.0,14.1,0.0,170.0,1
23.0,4.0,9.0,47.2,185.0,1
6.0,26.0,84.4,95.5,79.0,0
64.0,4.0,10.2,44.3,149.0,1
19.0,60.0,93.1,81.5,33.0,0
6.0,39.0,82.7,77.5,148.0,0
21.0,6.0,100.0,64.5,103.0,0
9.0,65.0,89.4,80.8,76.0,0
12.0,46.0,76.5,67.1,175.0,0
11.0,13.0,14.8,29.3,79.0,1
39.0,0.0,0.0,79.9,64.0,1
0.0,57.0,72.1,60.9,132.0,0
15.0,44.0,75.9,58.9,112.0,0
3.0,33.0,77.6,66.6,158.0,0
8.0,27.0,83.6,75.0,39.0,0
7.0,47.0,78.1,68.3,198.0,0
15.0,55.0,66.8,67.3,151.0,0
33.0,10.0,11.9,81.0,74.0,1
0.0,57.0,76.0,84.8,125.0,0
23.0,20.0,100.0,49.2,10.0,0
13.0,31.0,83.0,77.8,150.0,0
2.0,60.0,92.7,78.3,19.0,0
0.0,36.0,86.3,100.0,65.0,0
14.0,83.0,93.2,79.1,162.0,0
40.0,11.0,17.6,26.6,138.0,1
54.0,18.0,9.7,60.2,111.0,1
15.0,10.0,90.9,62.3,42.0,0
1.0,62.0,100.0,56.7,153.0,0
0.0,32.0,77.3,87.2,89.0,0
45.0,0.0,21.9,36.2,134.0,1
0.0,33.0,79.9,64.3,169.0,0
8.0,50.0,85.1,81.7,198.0,0
9.0,38.0,80.4,69.1,107.0,0
12.0,51.0,58.4,76.3,125.0,0
0.0,61.0,78.0,55.1,180.0,0
13.0,45.0,90.0,38.2,96.0,0
0.0,60.0,72.3,93.3,165.0,0
13.0,8.0,89.2,91.4,152.0,0
0.0,54.0,81.8,70.3,110.0,0
19.0,46.0,78.1,75.6,194.0,0
2.0,39.0,89.1,59.9,74.0,0
11.0,0.0,86.8,70.1,191.0,0
11.0,8.0,84.2,100.0,152.0,0
0.0,50.0,90.2,100.0,117.0,0
13.0,53.0,82.0,78.2,152.0,0
2.0,54.0,63.6,45.5,62.0,0
4.0,45.0,76.2,81.8,108.0,0
1.0,19.0,62.0,70.0,146.0,0
19.0,22.0,86.6,67.8,36.0,0
0.0,0.0,89.0,73.9,197.0,0
9.0,48.0,89.4,100.0,70.0,0
1.0,87.0,84.9,76.2,151.0,0
37.0,4.0,17.9,23.5,100.0,1
25.0,28.0,64.2,80.4,174.0,0
1.0,46.0,78.9,80.0,189.0,0
7.0,42.0,65.9,84.0,30.0,0
3.0,7.0,76.4,67.8,157.0,0
14.0,51.0,96.2,53.7,118.0,0
1.0,0.0,10.7,79.1,157.0,1
13.0,41.0,86.6,51.2,180.0,0
3.0,89.0,78.2,78.4,48.0,0
24.0,43.0,70.1,100.0,171.0,0
0.0,6.0,11.2,36.9,39.0,1
9.0,27.0,91.1,83.1,69.0,0
6.0,12.0,84.1,83.1,194.0,0
6.0,27.0,64.1,91.6,47.0,0
8.0,71.0,81.0,94.4,64.0,0
6.0,28.0,60.9,52.6,157.0,0
8.0,14.0,88.0,93.8,134.0,0
9.0,52.0,73.1,73.1,166.0,0
20.0,37.0,67.8,62.7,153.0,0
0.0,58.0,88.2,57.9,55.0,0
21.0,30.0,85.6,77.9,109.0,0
26.0,25.0,82.3,65.6,21.0,0
0.0,82.0,100.0,75.2,24.0,0
6.0,27.0,86.3,74.0,159.0,0
17.0,27.0,73.6,78.4,73.0,0
13.0,55.0,85.2,86.0,103.0,0
19.0,0.0,77.1,91.7,186.0,0
9.0,61.0,92.7,91.4,142.0,0
59.0,6.0,10.2,61.0,115.0,1
16.0,64.0,83.8,70.1,114.0,0
11.0,22.0,65.6,63.0,190.0,0
54.0,10.0,7.9,14.6,79.0,1
0.0,46.0,79.4,66.7,40.0,0
0.0,53.0,69.8,54.3,185.0,0
6.0,81.0,77.8,70.1,22.0,0
17.0,80.0,84.4,84.3,171.0,0
19.0,40.0,80.0,92.2,135.0,0
0.0,33.0,65.9,72.6,46.0,0
53.0,11.0,0.0,77.1,62.0,1
29.0,59.0,75.3,74.1,85.0,0
2.0,69.0,81.9,38.3,118.0,0
11.0,47.0,80.9,53.6,106.0,0
17.0,4.0,15.2,41.5,79.0,1
10.0,91.0,75.5,46.8,113.0,0
0.0,60.0,80.7,54.0,57.0,0
0.0,0.0,89.6,51.1,10.0,0
3.0,44.0,82.8,70.8,26.0,0
2.0,49.0,94.2,77.6,74.0,0
4.0,39.0,91.3,48.4,114.0,0
10.0,73.0,95.0,85.3,31.0,0
21.0,38.0,93.7,74.1,20.0,0
1.0,23.0,95.6,54.2,155.0,0
0.0,29.0,68.5,74.6,146.0,0
28.0,4.0,17.4,48.6,102.0,1
0.0,15.0,92.2,62.4,59.0,0
0.0,34.0,94.0,55.0,128.0,0
15.0,64.0,72.3,73.7,36.0,0
7.0,15.0,86.6,70.2,12.0,0
7.0,22.0,80.8,70.1,167.0,0
0.0,8.0,98.5,72.1,155.0,0
1.0,25.0,66.1,77.5,181.0,0
0.0,34.0,72.3,71.0,167.0,0
6.0,40.0,61.9,44.2,34.0,0
7.0,25.0,81.4,73.2,20.0,0
7.0,37.0,100.0,59.5,190.0,0
56.0,14.0,8.9,37.9,177.0,1
20.0,0.0,10.0,24.8,99.0,1
4.0,92.0,85.5,88.8,117.0,0
9.0,30.0,78.8,65.8,32.0,0
1.0,35.0,83.7,87.3,51.0,0
0.0,48.0,83.9,57.2,80.0,0
0.0,34.0,71.5,73.7,54.0,0
1.0,44.0,79.1,60.3,114.0,0
2.0,3.0,87.4,82.9,83.0,0
0.0,37.0,89.3,99.8,59.0,0
2.0,64.0,93.0,79.2,54.0,0
16.0,87.0,83.4,51.6,158.0,0
4.0,77.0,83.6,63.8,132.0,0
0.0,48.0,87.5,100.0,32.0,0
0.0,56.0,74.1,86.3,153.0,0
21.0,52.0,73.6,62.4,178.0,0
15.0,33.0,78.8,87.8,58.0,0
8.0,24.0,67.2,75.8,89.0,0
15.0,50.0,84.1,100.0,30.0,0
10.0,43.0,90.5,75.0,195.0,0
5.0,63.0,72.9,70.2,147.0,0
0.0,0.0,84.4,72.9,95.0,0
21.0,41.0,73.7,68.2,26.0,0
3.0,72.0,69.8,63.3,13.0,0
3.0,58.0,100.0,57.1,96.0,0
6.0,23.0,70.0,66.8,84.0,0
6.0,16.0,67.2,85.5,91.0,0
11.0,44.0,82.1,70.1,84.0,0
10.0,62.0,82.7,65.3,190.0,0
1.0,56.0,86.7,54.1,78.0,0
6.0,48.0,100.0,84.6,88.0,0
10.0,59.0,72.2,98.1,153.0,0
25.0,18.0,7.5,94.4,76.0,1
18.0,58.0,96.1,64.4,121.0,0
6.0,66.0,89.4,60.2,149.0,0
19.0,35.0,88.0,86.3,182.0,0
0.0,26.0,74.1,89.6,15.0,0
47.0,0.0,8.4,57.5,128.0,1
0.0,34.0,88.0,56.2,110.0,0
1.0,2.0,81.9,79.9,121.0,0
13.0,76.0,74.2,77.5,196.0,0
4.0,51.0,81.1,79.0,61.0,0
47.0,13.0,5.0,67.7,165.0,1
10.0,41.0,69.1,57.3,135.0,0
9.0,8.0,12.9,39.6,89.0,1
10.0,17.0,73.7,91.3,143.0,0
4.0,45.0,75.9,91.8,158.0,0
13.0,51.0,79.8,49.7,18.0,0
4.0,57.0,89.6,62.0,114.0,0
9.0,7.0,84.6,62.1,19.0,0
11.0,7.0,19.4,41.4,15.0,1
7.0,36.0,82.8,75.3,49.0,0
14.0,31.0,86.2,97.1,48.0,0
0.0,11.0,63.2,69.6,120.0,0
7.0,94.0,90.7,53.9,167.0,0
0.0,42.0,71.7,63.0,130.0,0
0.0,50.0,75.6,60.3,170.0,0
0.0,22.0,83.4,89.8,77.0,0
1.0,11.0,79.2,100.0,181.0,0
4.0,63.0,84.9,81.4,56.0,0
9.0,15.0,81.4,63.5,150.0,0
10.0,74.0,77.1,77.8,41.0,0
3.0,85.0,95.3,49.5,120.0,0
40.0,15.0,9.0,46.3,67.0,1
3.0,35.0,83.0,48.9,126.0,0
0.0,0.0,86.9,81.2,96.0,0
3.0,7.0,72.9,71.5,31.0,0
6.0,59.0,100.0,86.3,123.0,0
23.0,16.0,10.9,46.1,151.0,1
16.0,28.0,81.1,65.7,175.0,0
5.0,31.0,77.1,89.2,183.0,0
0.0,10.0,76.8,56.2,130.0,0
0.0,20.0,75.5,100.0,132.0,0
12.0,74.0,72.3,53.9,113.0,0
13.0,52.0,91.9,85.2,187.0,0
1.0,6.0,68.0,92.7,75.0,0
0.0,57.0,89.8,76.7,104.0,0
1.0,17.0,13.6,65.7,91.0,1
0.0,5.0,10.6,82.3,72.0,1
11.0,30.0,85.3,58.7,132.0,0
1.0,58.0,78.4,73.9,21.0,0
5.0,67.0,69.0,85.9,131.0,0
56.0,8.0,2.3,38.1,168.0,1
14.0,38.0,86.6,74.8,50.0,0
17.0,36.0,86.0,53.1,55.0,0
19.0,7.0,82.4,99.5,163.0,0
16.0,18.0,76.1,71.4,66.0,0
21.0,53.0,78.1,68.3,167.0,0
14.0,33.0,76.7,77.5,129.0,0
1.0,50.0,62.5,49.1,196.0,0
43.0,0.0,4.8,53.7,100.0,1
